"BrandID"|"BrandName"|"BrandOEMFlag"|"BrandOwnerID"|"BrandOwner"|"ParentID"|"ParentCompany"|"SubBrandID"|"SubBrand"|"Revision Date"
"GNHM"|"JEEPBACKBONE.COM"|"False"|"GNHL"|"JEEPBACKBONE.COM LLC"|"GNHK"|"JEEPBACKBONE.COM LLC"|""|""|"Dec 18, 2015"
"GNHQ"|"MCE Fenders"|"False"|"BKCG"|"Daystar"|"BKCG"|"Daystar"|""|""|"Apr 18, 2019"
"GNHS"|"Dieselogic"|"False"|"GNHR"|"L&J Diesel Service Inc"|"GNHB"|"L&J Diesel Service Inc"|""|""|"Dec 18, 2015"
"GNHW"|"Performance Distributors"|"False"|"GNHV"|"Performance Distributors"|"GNHT"|"Performance Distributors"|""|""|"Dec 18, 2015"
"GNJC"|"POWERTANK"|"False"|"GNJB"|"Advanced Air Systems Inc"|"GNHX"|"Advanced Air Systems Inc"|""|""|"Dec 18, 2015"
"GNJG"|"Rescue 42 Inc"|"False"|"GNJF"|"Rescue 42 Inc"|"GNJD"|"Rescue 42 Inc"|""|""|"Dec 18, 2015"
"GNJK"|"RotopaX"|"False"|"GNJJ"|"GREAT Outdoor Products LLC"|"GNJH"|"GREAT Outdoor Products LLC"|""|""|"Dec 18, 2015"
"GNJN"|"R&P 4WD"|"False"|"GNJM"|"R&P 4WD"|"GNJL"|"R&P 4WD"|""|""|"Dec 18, 2015"
"GNJR"|"Traxxas"|"False"|"GNJQ"|"Traxxas"|"GNJP"|"Traxxas"|""|""|"Dec 18, 2015"
"GNJV"|"sPOD"|"False"|"GNJT"|"sPOD"|"GNJS"|"sPOD"|""|""|"Dec 18, 2015"
"GNKB"|"AGR"|"False"|"GNJX"|"Steerco LLC"|"GNJW"|"Steerco LLC"|""|""|"Dec 18, 2015"
"GNKH"|"AO Coolers"|"False"|"GNKG"|"AO Coolers"|"GNKF"|"AO Coolers"|""|""|"Dec 18, 2015"
"GNKJ"|"Sunmight"|"False"|"GNKD"|"Sun Abrasives Co Ltd"|"GNKC"|"Sun Abrasives Co Ltd"|""|""|"Dec 18, 2015"
"GNKM"|"Armadillo Industries"|"False"|"GNKL"|"Armadillo Industries Inc"|"GNKK"|"Armadillo Industries Inc"|""|""|"Dec 18, 2015"
"GNKQ"|"Artec Industries"|"False"|"GNKP"|"Artec Industries"|"GNKN"|"Artec Industries"|""|""|"Dec 18, 2015"
"GNKT"|"Big Daddy Offroad"|"False"|"GNKS"|"Big Daddy Offroad"|"GNKR"|"Big Daddy Offroad"|""|""|"Dec 18, 2015"
"GNKX"|"Blue Torch Fabworks"|"False"|"GNKW"|"Blue Torch Fabworks Inc"|"GNKV"|"Blue Torch Fabworks Inc"|""|""|"Dec 18, 2015"
"GNLD"|"CobraHeat"|"False"|"GNLC"|"CobraHeat LLC"|"GNLB"|"CobraHeat LLC"|""|""|"Dec 18, 2015"
"GNLH"|"CTM Racing Products"|"False"|"GNLG"|"CTM Racing Products Inc"|"GNLF"|"CTM Racing Products Inc"|""|""|"Dec 18, 2015"
"GNLL"|"Eklips"|"False"|"GNLK"|"Marcus Automotive"|"GNLJ"|"Marcus Automotive"|""|""|"Dec 18, 2015"
"GNLP"|"End of the Road Inc"|"False"|"GNLN"|"End of the Road Inc"|"GNLM"|"End of the Road Inc"|""|""|"Dec 18, 2015"
"GNLS"|"FlowKooler"|"False"|"GNLR"|"FlowKooler"|"GNLQ"|"FlowKooler"|""|""|"Dec 18, 2015"
